"work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
2023,"SE","FT","Data Analyst",55000,"USD",55000,"US",100,"US","M"
2023,"SE","FT","Decision Scientist",129300,"USD",129300,"US",0,"US","M"
2024,"MI","FT","Data Engineer",120000,"USD",120000,"US",0,"US","M"
2024,"MI","FT","Data Analyst",95000,"USD",95000,"US",0,"US","M"
2023,"MI","FT","Data Analytics Lead",85000,"GBP",104584,"GB",0,"GB","M"
2022,"SE","FT","Machine Learning Engineer",201000,"USD",201000,"US",0,"US","M"
2023,"SE","FT","Data Manager",140000,"USD",140000,"US",0,"US","M"
2023,"EX","FT","Data Science",218000,"USD",218000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",225000,"USD",225000,"US",100,"US","M"
2023,"SE","FT","Data Science",95100,"USD",95100,"US",100,"US","M"
2024,"SE","FT","Data Scientist",170000,"USD",170000,"US",0,"US","M"
2022,"SE","FT","Data Engineer",190000,"USD",190000,"US",100,"US","M"
2024,"SE","FT","Analytics Engineer",720000,"USD",720000,"US",0,"US","M"
2024,"EN","FT","Machine Learning Engineer",171600,"USD",171600,"US",0,"US","M"
2023,"SE","FT","Data Analyst",227000,"USD",227000,"US",0,"US","M"
2023,"SE","FT","Data Analyst",140000,"USD",140000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",114080,"USD",114080,"US",0,"US","M"
2023,"SE","FT","Decision Scientist",170000,"USD",170000,"US",100,"US","M"
2023,"MI","FT","Data Analyst",115950,"USD",115950,"US",0,"US","M"
2023,"SE","FT","Data Scientist",204500,"USD",204500,"US",0,"US","M"
2023,"MI","FT","Data Analyst",38000,"GBP",46755,"GB",0,"GB","M"
2023,"SE","FT","Data Scientist",145000,"USD",145000,"US",100,"US","M"
2023,"EN","FT","Data Scientist",73100,"USD",73100,"US",100,"US","M"
2023,"SE","FT","Data Engineer",120000,"USD",120000,"US",0,"US","M"
2022,"SE","FT","Data Engineer",205600,"USD",205600,"US",0,"US","L"
2023,"SE","FT","Data Scientist",156400,"USD",156400,"US",0,"US","M"
2024,"SE","FT","Business Intelligence",139600,"USD",139600,"US",100,"US","M"
2023,"SE","FT","Data Analyst",140000,"USD",140000,"US",100,"US","M"
2023,"SE","FT","Machine Learning Scientist",292200,"USD",292200,"US",100,"US","M"
2023,"SE","FT","Applied Scientist",192000,"USD",192000,"US",100,"US","M"
2023,"SE","FT","Data Analyst",160000,"USD",160000,"US",100,"US","M"
2023,"SE","FT","Business Intelligence Analyst",176838,"USD",176838,"US",0,"US","M"
2023,"SE","FT","Data Engineer",72000,"EUR",77737,"DE",50,"DE","L"
2024,"EN","FT","Data Operations Analyst",76000,"USD",76000,"US",0,"US","M"
2024,"MI","FT","Data Engineer",112000,"USD",112000,"US",0,"US","M"
2024,"SE","FT","Business Intelligence",132600,"USD",132600,"US",0,"US","M"
2024,"SE","FT","Machine Learning Engineer",182000,"USD",182000,"US",100,"US","M"
2023,"EN","FT","Data Analyst",50000,"GBP",61520,"GB",0,"GB","M"
2023,"SE","FT","Analytics Engineer",235400,"USD",235400,"US",100,"US","M"
2024,"MI","FT","Data Integration Specialist",240000,"USD",240000,"US",100,"US","M"
2023,"SE","FT","Data Science Manager",152000,"USD",152000,"US",100,"US","M"
2023,"MI","FT","Machine Learning Engineer",200000,"USD",200000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",90000,"USD",90000,"US",100,"US","M"
2023,"MI","FT","Data Manager",73500,"USD",73500,"US",0,"US","M"
2023,"SE","FT","BI Analyst",118800,"USD",118800,"US",100,"US","M"
2023,"SE","FT","Data Operations Specialist",55720,"USD",55720,"US",100,"US","M"
2023,"SE","FT","Data Scientist",139500,"USD",139500,"US",0,"US","M"
2023,"SE","FT","Business Intelligence Engineer",160000,"USD",160000,"US",100,"US","M"
2023,"SE","FT","Machine Learning Engineer",145900,"USD",145900,"US",0,"US","M"
2024,"SE","FT","Data Analyst",140000,"USD",140000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",178000,"USD",178000,"US",100,"US","M"
2024,"MI","FT","Machine Learning Engineer",210100,"USD",210100,"US",0,"US","M"
2024,"SE","FT","AI Engineer",180000,"USD",180000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",126900,"USD",126900,"US",0,"US","M"
2023,"SE","FT","Data Scientist",160000,"USD",160000,"US",100,"US","M"
2023,"MI","FT","Data Engineer",147500,"USD",147500,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",148594,"USD",148594,"US",0,"US","M"
2023,"MI","FT","Data Scientist",204500,"USD",204500,"US",0,"US","M"
2024,"SE","FT","Data Analyst",125000,"USD",125000,"US",0,"US","M"
2024,"SE","FT","Data Architect",117000,"USD",117000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",160000,"USD",160000,"US",0,"US","M"
2022,"MI","FT","Data Scientist",54000,"USD",54000,"BR",100,"BR","M"
2022,"SE","FT","Data Scientist",156400,"USD",156400,"US",0,"US","M"
2024,"SE","FT","Data Scientist",189100,"USD",189100,"US",0,"US","M"
2023,"MI","FT","Data Scientist",135000,"USD",135000,"US",0,"US","M"
2024,"MI","FT","Business Intelligence Engineer",65000,"USD",65000,"US",100,"US","M"
2024,"SE","FT","Data Analyst",88052,"USD",88052,"US",100,"US","M"
2023,"SE","FT","Machine Learning Engineer",100000,"USD",100000,"US",0,"US","M"
2023,"MI","FT","Business Intelligence Engineer",79600,"USD",79600,"US",0,"US","L"
2023,"SE","FT","Data Analyst",151800,"USD",151800,"US",100,"US","M"
2022,"MI","FT","Data Specialist",135000,"USD",135000,"US",0,"US","M"
2024,"SE","FT","Data Analyst",120000,"USD",120000,"US",0,"US","M"
2023,"SE","FT","Data Quality Analyst",100000,"USD",100000,"US",0,"US","M"
2024,"SE","FT","Data Analyst",140000,"USD",140000,"US",100,"US","M"
2022,"MI","FT","Data Manager",98000,"USD",98000,"US",0,"US","M"
2024,"SE","FT","Data Manager",95300,"USD",95300,"US",100,"US","M"
2024,"SE","FT","Research Engineer",151500,"USD",151500,"US",0,"US","M"
2024,"SE","FT","Data Architect",119250,"USD",119250,"US",100,"US","M"
2023,"MI","FT","Data Scientist",100000,"USD",100000,"US",0,"US","M"
2024,"SE","FT","Data Specialist",127000,"USD",127000,"US",0,"US","M"
2024,"SE","FT","Data Scientist",231000,"USD",231000,"US",100,"US","M"
2024,"EX","FT","Business Intelligence",230000,"USD",230000,"US",0,"US","M"
2023,"MI","FT","Data Manager",73500,"USD",73500,"US",0,"US","M"
2023,"SE","FT","Data Scientist",220000,"USD",220000,"US",0,"US","M"
2024,"SE","FT","Research Engineer",179000,"USD",179000,"US",0,"US","M"
2024,"SE","FT","Machine Learning Engineer",258600,"USD",258600,"US",100,"US","M"
2023,"SE","FT","Machine Learning Engineer",184700,"USD",184700,"US",0,"US","M"
2022,"SE","FT","Data Analyst",90320,"USD",90320,"US",100,"US","M"
2023,"SE","FT","Machine Learning Engineer",152000,"USD",152000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",258700,"USD",258700,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",144000,"USD",144000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",200000,"USD",200000,"US",100,"US","M"
2024,"MI","FT","Data Scientist",111600,"USD",111600,"US",0,"US","L"
2022,"SE","FT","Machine Learning Engineer",204500,"USD",204500,"US",0,"US","M"
2023,"SE","FT","BI Analyst",75000,"USD",75000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",185900,"USD",185900,"US",0,"US","M"
2023,"EN","FT","Data Engineer",220000,"USD",220000,"US",0,"US","M"
2024,"SE","FT","Research Scientist",51543,"USD",51543,"CA",0,"CA","M"
2022,"SE","FT","Data Engineer",300000,"USD",300000,"US",0,"US","M"
2024,"MI","FT","Data Specialist",105000,"USD",105000,"AU",0,"AU","M"
2023,"SE","FT","Machine Learning Engineer",140000,"USD",140000,"US",0,"US","M"
2024,"SE","FT","Machine Learning Engineer",180000,"USD",180000,"US",0,"US","M"
2023,"SE","FT","Data Analyst",280000,"USD",280000,"US",0,"US","M"
2023,"SE","FT","ML Engineer",232200,"USD",232200,"US",100,"US","M"
2022,"SE","FT","Lead Machine Learning Engineer",80000,"EUR",84053,"DE",0,"DE","M"
2024,"MI","FT","Data Analyst",140000,"USD",140000,"US",0,"US","M"
2024,"MI","FT","Data Analyst",86000,"USD",86000,"US",0,"US","M"
2023,"EN","FT","Data Analyst",30000,"USD",30000,"IN",50,"IN","M"
2023,"MI","FT","Data Scientist",55000,"EUR",59382,"ES",0,"ES","M"
2023,"SE","FT","Data Scientist",150000,"USD",150000,"US",0,"US","M"
2024,"MI","FT","Data Scientist",85000,"USD",85000,"US",0,"US","M"
2023,"EX","FT","Data Engineer",204500,"USD",204500,"US",0,"US","M"
2023,"SE","FT","Data Engineer",90000,"USD",90000,"US",0,"US","M"
2023,"SE","FT","Applied Scientist",136000,"USD",136000,"US",0,"US","L"
2024,"MI","FT","Data Scientist",179000,"USD",179000,"US",0,"US","M"
2020,"EN","FT","Data Engineer",48000,"EUR",54742,"PK",100,"DE","L"
2022,"SE","FT","Data Specialist",70000,"USD",70000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",105000,"EUR",113366,"DE",50,"DE","L"
2023,"SE","FT","Data Analyst",139600,"USD",139600,"US",0,"US","M"
2023,"MI","FT","Applied Scientist",125000,"USD",125000,"US",0,"US","M"
2023,"SE","FT","Data Modeler",90700,"USD",90700,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",176000,"USD",176000,"US",0,"US","M"
2024,"EN","FT","Data Analyst",65400,"USD",65400,"US",0,"US","M"
2023,"SE","FT","Data Integration Engineer",125000,"USD",125000,"US",0,"US","M"
2023,"SE","FT","Data Architect",234900,"USD",234900,"US",0,"US","M"
2023,"SE","FT","Prompt Engineer",140000,"USD",140000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",85000,"USD",85000,"US",100,"US","M"
2023,"EX","FT","NLP Engineer",200000,"USD",200000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",140000,"USD",140000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Scientist",169000,"USD",169000,"US",0,"US","M"
2022,"MI","FT","Data Engineer",70000,"GBP",86193,"GB",100,"GB","M"
2023,"EN","FT","Data Analyst",40000,"GBP",49216,"GB",0,"GB","M"
2024,"MI","FT","Business Intelligence Manager",112000,"USD",112000,"US",100,"US","M"
2023,"MI","FT","Data Scientist",30000,"GBP",36912,"GB",0,"GB","M"
2024,"SE","FT","AI Architect",99750,"USD",99750,"US",100,"US","M"
2023,"SE","FT","Data Scientist",185000,"USD",185000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",70000,"USD",70000,"US",0,"US","M"
2023,"SE","FT","Data Analyst",95000,"USD",95000,"US",0,"US","M"
2021,"MI","FT","Data Scientist",32000,"EUR",37825,"ES",100,"ES","L"
2024,"SE","FT","Data Science Consultant",80000,"USD",80000,"US",0,"US","M"
2023,"SE","FT","Business Intelligence Engineer",185000,"USD",185000,"US",0,"US","L"
2023,"EN","FT","Data Analyst",55000,"GBP",67672,"GB",0,"GB","M"
2023,"MI","FT","Data Engineer",40000,"GBP",49216,"GB",0,"GB","M"
2022,"SE","FT","Data Scientist",148000,"USD",148000,"US",100,"US","M"
2023,"MI","FT","Data Engineer",150000,"USD",150000,"US",0,"US","M"
2024,"SE","FT","Data Scientist",198000,"USD",198000,"US",0,"US","M"
2024,"SE","FT","Business Intelligence Engineer",202800,"USD",202800,"US",100,"US","M"
2023,"MI","FT","Data Analyst",100000,"USD",100000,"US",0,"US","M"
2023,"SE","FT","Research Scientist",105200,"USD",105200,"US",0,"US","M"
2024,"MI","FT","Machine Learning Engineer",210100,"USD",210100,"US",0,"US","M"
2024,"SE","FT","Data Scientist",133200,"USD",133200,"US",0,"US","M"
2022,"SE","FT","Data Scientist",160000,"USD",160000,"US",0,"US","L"
2023,"SE","FT","ML Engineer",260000,"USD",260000,"US",100,"US","M"
2022,"SE","FT","Data Scientist",107000,"USD",107000,"US",100,"US","M"
2024,"SE","FT","Data Engineer",93300,"USD",93300,"US",0,"US","M"
2023,"SE","FT","Data Engineer",161800,"USD",161800,"US",0,"US","M"
2023,"EN","FT","Research Scientist",155000,"USD",155000,"US",0,"US","M"
2022,"MI","FT","Data Analyst",60000,"USD",60000,"US",100,"US","M"
2023,"SE","FT","Data Architect",200000,"USD",200000,"US",100,"US","M"
2024,"MI","FT","Data Scientist",168000,"USD",168000,"US",0,"US","M"
2021,"SE","FT","Lead Data Engineer",75000,"GBP",103160,"GB",100,"GB","S"
2024,"MI","FT","Data Scientist",115000,"USD",115000,"US",0,"US","M"
2023,"MI","FT","BI Analyst",110000,"USD",110000,"US",0,"US","M"
2023,"EX","FT","Data Engineer",174500,"USD",174500,"US",0,"US","M"
2023,"SE","FT","Data Analyst",79000,"USD",79000,"US",0,"US","M"
2024,"SE","FT","Data Engineer",198000,"USD",198000,"US",100,"US","M"
2023,"SE","FT","Data Analyst",141290,"USD",141290,"US",0,"US","M"
2023,"SE","FT","Data Modeler",168400,"USD",168400,"US",0,"US","M"
2023,"MI","FT","Machine Learning Engineer",155000,"USD",155000,"US",0,"US","M"
2022,"SE","FT","Data Analyst",99000,"USD",99000,"US",0,"US","M"
2022,"SE","FT","Data Scientist",129300,"USD",129300,"US",0,"US","M"
2024,"SE","FT","Data Science",150000,"USD",150000,"US",100,"US","M"
2024,"MI","FT","Data Engineer",107800,"USD",107800,"US",0,"US","M"
2024,"EX","FT","Data Engineer",209309,"USD",209309,"US",0,"US","M"
2022,"EX","FT","AI Scientist",200000,"USD",200000,"US",100,"US","S"
2023,"SE","FT","Data Engineer",175000,"USD",175000,"US",100,"US","M"
2020,"SE","FT","Data Scientist",120000,"USD",120000,"US",50,"US","L"
2023,"MI","FT","Machine Learning Specialist",70000,"USD",70000,"FR",100,"FR","M"
2024,"SE","FT","Data Scientist",141300,"USD",141300,"US",100,"US","M"
2023,"SE","FT","Data Engineer",166000,"USD",166000,"US",0,"US","M"
2024,"SE","FT","Data Modeler",110000,"USD",110000,"US",100,"US","M"
2024,"SE","FT","Data Scientist",284500,"CHF",323295,"CH",50,"CH","L"
2024,"MI","FT","Data Scientist",111600,"USD",111600,"US",0,"US","L"
2024,"SE","FT","AI Engineer",90000,"GBP",112500,"GB",100,"GB","M"
2024,"MI","FT","Data Engineer",166000,"USD",166000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",166600,"USD",166600,"US",0,"US","M"
2024,"SE","FT","Machine Learning Engineer",283780,"USD",283780,"US",0,"US","M"
2023,"SE","FT","Business Intelligence Analyst",132320,"USD",132320,"US",100,"US","M"
2023,"SE","FT","Data Modeler",147100,"USD",147100,"US",0,"US","M"
2021,"SE","FT","Principal Data Scientist",220000,"USD",220000,"US",0,"US","L"
2024,"MI","FT","Business Intelligence Engineer",185000,"USD",185000,"US",0,"US","L"
2023,"SE","FT","Data Analyst",70000,"USD",70000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",75000,"USD",75000,"US",100,"US","M"
2024,"SE","FT","Data Scientist",160000,"USD",160000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",129300,"USD",129300,"US",0,"US","M"
2023,"SE","FT","Data Scientist",266000,"USD",266000,"US",0,"US","M"
2022,"EN","FT","Data Analyst",50000,"USD",50000,"US",50,"US","L"
2024,"SE","FT","Research Engineer",125000,"USD",125000,"US",0,"US","M"
2022,"SE","FT","Data Scientist",81500,"USD",81500,"US",0,"US","M"
2023,"SE","FT","Business Intelligence Analyst",110600,"USD",110600,"US",0,"US","M"
2023,"MI","FT","Data Analytics Manager",155000,"USD",155000,"US",0,"US","M"
2024,"SE","FT","Machine Learning Engineer",255800,"USD",255800,"US",0,"US","M"
2023,"EX","FT","Data Engineer",210600,"USD",210600,"US",100,"US","M"
2023,"MI","FT","Data Science Consultant",100000,"USD",100000,"US",100,"US","M"
2022,"EN","PT","Data Analyst",24000,"EUR",25216,"ES",100,"US","L"
2023,"SE","FT","ML Engineer",270000,"USD",270000,"US",100,"US","M"
2023,"SE","FT","Data Engineer",220000,"USD",220000,"US",0,"US","M"
2024,"MI","FT","BI Developer",74300,"USD",74300,"US",0,"US","M"
2022,"SE","FT","Data Engineer",66822,"GBP",82280,"GB",100,"GB","M"
2024,"EN","FT","Machine Learning Engineer",157900,"USD",157900,"CA",100,"CA","M"
2023,"SE","FT","Data Engineer",139700,"USD",139700,"US",0,"US","M"
2021,"EN","FT","Data Scientist",100000,"USD",100000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",162000,"USD",162000,"US",0,"US","M"
2024,"EN","FT","Data Science",90000,"USD",90000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",227500,"USD",227500,"US",100,"US","M"
2024,"MI","FT","Data Scientist",100000,"USD",100000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",128280,"USD",128280,"US",0,"US","M"
2022,"SE","FT","Data Engineer",138750,"USD",138750,"US",100,"US","M"
2024,"MI","FT","Data Scientist",152000,"USD",152000,"US",0,"US","M"
2024,"SE","FT","Machine Learning Engineer",183000,"USD",183000,"US",0,"US","M"
2023,"EN","FT","Data Analyst",50000,"USD",50000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",130000,"USD",130000,"US",100,"US","M"
2023,"SE","FT","Data Analyst",92000,"USD",92000,"US",0,"US","M"
2023,"MI","FT","Data Science Manager",270000,"USD",270000,"US",100,"US","M"
2023,"SE","FT","Business Intelligence Engineer",202800,"USD",202800,"US",0,"US","L"
2024,"EN","FT","Data Analyst",75000,"GBP",93750,"GB",0,"GB","M"
2024,"MI","FT","Data Engineer",90000,"USD",90000,"US",0,"US","M"
2024,"SE","FT","Data Engineer",135000,"USD",135000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",142200,"USD",142200,"US",0,"US","M"
2023,"MI","FT","Research Scientist",210000,"USD",210000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",128500,"USD",128500,"US",0,"US","M"
2023,"SE","FT","AI Engineer",83900,"USD",83900,"US",0,"US","M"
2024,"MI","FT","Data Engineer",94600,"USD",94600,"CA",0,"CA","M"
2024,"SE","FT","Data Architect",123000,"USD",123000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",60000,"USD",60000,"CO",100,"CO","M"
2024,"SE","FT","Data Scientist",138000,"USD",138000,"US",0,"US","M"
2024,"MI","FT","Data Engineer",158000,"USD",158000,"US",0,"US","M"
2023,"SE","FT","Data Analyst",223100,"USD",223100,"US",0,"US","L"
2024,"EN","FT","Research Analyst",150000,"USD",150000,"US",0,"US","M"
2024,"EN","FT","Data Analyst",90000,"USD",90000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",106200,"USD",106200,"AU",0,"AU","M"
2024,"EN","PT","Data Analyst",45400,"USD",45400,"US",0,"US","M"
